Character,Text
Yukiko Hirohara,Ouch What now all of a sudden That was mean Youre Mr Hero of Justice
Takahisa Tajima,Glasses girl You again
Yukiko Hirohara,YYeah Everyone the search is over
Yuka Minase,Huh
Yukiko Hirohara,Its this person
Takahisa Tajima,What a surprise For there to be this many people that can see the black moon Youre Satsuki right
Kakeru Satsuki,What is it
Takahisa Tajima,Do you really have no powers Youve done pretty well surviving up to now Thats quite something
Kakeru Satsuki,What
Takahisa Tajima,Dont get mad Im complimenting you You want some sweet potato chips
Kakeru Satsuki,No
Yuka Minase,I dont want any
Misuzu Kusakabe,Im fine
Yukiko Hirohara,All right then Ill take you up on that
Takahisa Tajima,So anyways There hasnt been anyone sucked into the Crimson Night that knows any details huh All right Im off
Misuzu Kusakabe,Just a minute Takahisa Tajima
Invidia,Arent you going to join our study of modern societies club
Takahisa Tajima,The weak dogs band together Its not my hobby to gather with the weak
Kakeru Satsuki,Did he say dog
Misuzu Kusakabe,What if the Crimson Night comes again
Takahisa Tajima,I will manage all by myself
Yuka Minase,Kakerukun
Misuzu Kusakabe,What a rude guy
Yukiko Hirohara,Nope Even though he looks like that hes actually quite kind Thats right Hes really nice
Takahisa Tajima,Its not disgusting In fact everyone would be jealous
Yukiko Hirohara,Kakerusenpai If you just flail around aimlessly you wont hit her The more you hurry the worse your swordsmanship gets
Misuzu Kusakabe,For what reason do you fight
Kakeru Satsuki,That is to protect Yuka
Misuzu Kusakabe,What a futile ring it has They just slip through your mouth and arent becoming flesh and blood Your feelings arent turning into power Did you have the resolution in your sword
Kakeru Satsuki,Resolution
Misuzu Kusakabe,Resolution is the acquisition of comprehension Right now you dont fully comprehend the circumstances First to train is not your body but your heart Change feelings into strength Think only about that
Kakeru Satsuki,Yes Change my feelings into strength I want strength Strength to protect Yuka Yuka
Yukiko Hirohara,Kakerusenpai
Yuka Minase,Whats wrong Kakerukun
Kakeru Satsuki,Uh nothing What was I doing
Yukiko Hirohara,Let me just say that If we were to get into a battle right now while trying to protect Yuka you would die immediately
Kakeru Satsuki,Is that so figures
Yukiko Hirohara,Ah sorry it just slipped out
Kakeru Satsuki,No Its the truth
Yuka Minase,Kakerukun
Misuzu Kusakabe,To test Kakerukuns resolution I was thinking of pointing my sword at her Those movements right now were
Kakeru Satsuki,Hey Yuka
Yuka Minase,Eh
Kakeru Satsuki,Right now Im pitifully powerless but I will protect you no matter what
Yuka Minase,Dont overdo it okay I dont have any kind of powers either Its all right as long you stay by my side
Kakeru Satsuki,I also think that this is for myself I want to protect you I want to turn that desire into strength
Yuka Minase,Kakerukun
Tadashi Teruya,Oh Hello Good morning Shiori Nice to meet you How are you doing Shiori How much does it cost
Shiori Momono,Please dont desecrate Italian But I want to be able to be in love with a demon Please burn Burn until you turn to ashes
Tadashi Teruya,Understood Hey Shiorichan youre into the whole ladiesfirst thing right Ill listen to anything you say
Shiori Momono,Please continue on this road and go turn right and die
Tadashi Teruya,My pleasure Continue on this road and turn righ Carbonara
TL Note,TL NOTE Carbonara is an Italian sauce usually with spaghetti or pasta that has black pepper
Shiori Momono,Arrivederci Good bye
Kaori Natsuki,What a completely and utterly dramatic moron Right If he gets any dumber than this who knows what hell say next
Kakeru Satsuki,Kusakabesenpai
Misuzu Kusakabe,Hey
Kakeru Satsuki,Yuka went ahead already
Misuzu Kusakabe,Kakerukun about yesterdays practice
Kakeru Satsuki,Yes
Misuzu Kusakabe,No never mind
Kakeru Satsuki,YYuka
Yukiko Hirohara,Good work today The study of modern societies club is having a study session right now
Kakeru Satsuki,The modern societies club study session
Yukiko Hirohara,Yes Why does Yukasan have such large breasts even though she has such a childish figure
Yuka Minase,Stop it Yukikochan
Yukiko Hirohara,She isnt pushing them together or raising them up Without a pushup bra this is a modern miracle
Misuzu Kusakabe,In such a pure school what shameless actions
Kakeru Satsuki,Hey Yukikochan stop  I said stop
Misuzu Kusakabe,Its coming
Kakeru Satsuki,The Crimson Night
Misuzu Kusakabe,Thats
Yukiko Hirohara,Hes fighting Takahisasenpai
Misuzu Kusakabe,What
Takahisa Tajima,Burn in hell
Yukiko Hirohara,Takahisasenpai is a psychic fire energy user a pyrokinesist
Kakeru Satsuki,A black knight
Ira,You wont get away this time fragments
Yuka Minase,What the hell are you all
Ira,I have nothing to say to the walking dead
Misuzu Kusakabe,Questions are useless huh Yukikokun Ill leave these two in your care
Yukiko Hirohara,Yes
Misuzu Kusakabe,Kannagiri Nagamitsu Prepare yourself This guy he uses martial arts Hes fast
Kakeru Satsuki,Kusakabesenpai is being pushed back
Avaritia,So its begun huh
Superbia,Yes Avaritiasama
Avaritia,To have defeated Gula Those damned fragments
Superbia,Please do not worry This time its Ira and Invidia Also I Superbia will go as well
Yuka Minase,Kakerukun
Kakeru Satsuki,Im fine Forget that senpai is
Yukiko Hirohara,Misuzusenpai is in a pinch right
Kakeru Satsuki,If only I had some power
Yukiko Hirohara,I dont believe that they wished to have those powers They had no choice but to accept their powers Its that kind of horror Ill be going
Kakeru Satsuki,YYukikochan
Misuzu Kusakabe,This speed is What an unbelievable fighting ability
Ira,Damn you
Misuzu Kusakabe,Yukikokun
Ira,Little girl dont mess with me What
Yuka Minase,Yukikochan
Kakeru Satsuki,Its like shes a different person
Yuka Minase,No
Kakeru Satsuki,Yukiko
Invidia,Ira
Ira,So its you Invidia
Invidia,I though that youd be enough to slay the fragments but You can all just die together
Takahisa Tajima,Hold it right there The ally of justice has arrived
Invidia,My face is How dare you Ill kill you
Misuzu Kusakabe,The Crimson Night is ending
Invidia,Ill remember this
Ira,Next time we meet Ill definitely
Kakeru Satsuki,We made it Whats wrong Yuka
Yuka Minase,Kakerukun
Misuzu Kusakabe,Ridiculous with that severe wound
Yukiko Hirohara,Ive really done it huh
Kakeru Satsuki,Yukiko
Yuka Minase,Yukikochan
Yukiko Hirohara,I become like that when I take off my glasses
Misuzu Kusakabe,A double personality
Yukiko Hirohara,Yeah
Misuzu Kusakabe,Superhuman fighting abilities and a terrifying blood thirst Where did you obtain those abilities
Yukiko Hirohara,Those huh I dont really want to talk about that though
Yuka Minase,More importantly Yukikochan are you okay
Kakeru Satsuki,Shes healed
Yukiko Hirohara,The truth is I am able to regenerate I have been unable to die since birth
Misuzu Kusakabe,You cant die
Yukiko Hirohara,Yes Disgusting arent I Its all right Im used to it Since a long time ago everyone has I was born in the country of Dransvania There in a millenium of blood of massacre
Kakeru Satsuki,Thats enough Its all right Yukiko
Yukiko Hirohara,Now theres four people who have accepted me Everyone here and
Takahisa Tajima,Its not disgusting In fact everyone would be jealous Even if you get hurt you can return back to normal afterwards Back to the pretty girl you were before
Yuka Minase,Yukikochan
Yukiko Hirohara,Thank you very much Yukasan Kakerusenpai Misuzusenpai And also Takahisasenpai Ill be awaiting your bravery
Takahisa Tajima,Next time For Friends and Tomorrow Could there be an end to this nightmare
Kakeru Satsuki,I want to protect Yuka I want to protect her
Kaori Natsuki,Kakerukun Weve got trouble Yuka is
Kakeru Satsuki,Yuka Anemia
Yuka Minase,Yup its just anemia Sorry even though I said I was all right Kaorichan said
Kakeru Satsuki,Thats cause she said that you collapsed in the classroom
Yuka Minase,Yes but its nothing to worry about Ill be fine if I just lie down for a bit More importantly Im worried about you
Kakeru Satsuki,Im fine
Yuka Minase,The sketchbook
Kakeru Satsuki,Well find out the meaning of that sooner or later Theres no use worrying about it
Yuka Minase,You arent worried about it
Kakeru Satsuki,Yeah
Yuka Minase,Please dont lie to me
Kakeru Satsuki,Yuka
Yuka Minase,Kakerukun
Saiko Akamine,Its nice that you two get along well
Kakeru Satsuki,Ah no well
Takahisa Tajima,This is so cheesy that I cant stand listening to it
Saiko Akamine,Hes not cute at all right That guy
Yukiko Hirohara,SSorry I couldnt see in front of me Takahisasenpai
Takahisa Tajima,Ill be taking this
Yukiko Hirohara,UUm
Kakeru Satsuki,Are you really all right now
Yuka Minase,Yeah Im fine now
Saiko Akamine,Minase
Yuka Minase,Yes Saikosensei
Saiko Akamine,You said sleep deprivation but whats the cause Well whatever Youre at that age where a lot of things happen after all Its not good unless you sleep properly though
Yuka Minase,Yes
Saiko Akamine,Lets see If you cant seem to sleep again try having a lullaby sung to you
Yuka Minase,A lullaby
Saiko Akamine,Right Satsuki
Kakeru Satsuki,YYoure talking about me
Saiko Akamine,Even through the phone is fine so just sing for her
Kakeru Satsuki,Well but me Singing a lullaby
Saiko Akamine,It may be embarrassing at first but youll get used to it I was also like that
Yuka Minase,You sang lullabies too
Saiko Akamine,Oh is that strange
Yuka Minase,Well because
Kakeru Satsuki,Who did you sing to
Saiko Akamine,Who you say To my child
Kakeru Satsuki,Your child
Yuka Minase,Sensei you have children
Saiko Akamine,You two have seen him already Remember That uncute delinquent
Takahisa Tajima,Obachan the usual
Saiko Akamine,What are you surprised about
Yuka Minase,Well because
Saiko Akamine,Ah it doesnt all add up
Kakeru Satsuki,Uhhuh
Yuka Minase,Yeah
Saiko Akamine,Well thats natural Hes not my real son after all If there was a title Id be something like a childhood parent
Kakeru Satsuki,Childhood
Saiko Akamine,A long time ago I was Something of a mischievous motorcycle enthusiast
Yuka Minase,A mischievous motorcycle enthusiast
Kakeru Satsuki,Ah you mean ladies
Saiko Akamine,Well to be blunt yes So that night a lot of things had happened so I was being chased by the police and Wha A kid Theyre what youd call street children He was trying to live on in his own childish way A kid is still a kid though At that moment I suddenly thought Whos going to protect this kid Well thats the result of my youth Right now I regret picking him up
Yuka Minase,Street children Hes the same as us who were raised at an orphanage
Kakeru Satsuki,Yeah
Saiko Akamine,I see you two too
Kakeru Satsuki,All right then well be leaving
Saiko Akamine,Make sure you get him to sing a lullaby for you
Yuka Minase,Yes
Kakeru Satsuki,Hey Yuka
Yuka Minase,Youll sing for me right Kakerukun
Kakeru Satsuki,Well thats
Tadashi Teruya,Wait wait wait WAIT Awesome You dont have to be scared anymore cute little lost kitty
Kaori Natsuki,Tadashi its dangerous if you let your guard down See Geez right after I said it
Tadashi Teruya,Careful the kittys dangerous
Shiori Momono,Yo It disappeared
Tadashi Teruya,It disappeared
Kaori Natsuki,It disappeared What did
Shiori Momono,Its a secret to ordinary people
Saiko Akamine,Whos going to protect this kid
Kakeru Satsuki,Kusakabesenpai
Yuka Minase,Kakerukun
Misuzu Kusakabe,Hey good timing
Kakeru Satsuki,After school again today please
Misuzu Kusakabe,Swordsmanship Today Ill introduce you to someone before that
Kakeru Satsuki,A person Ah you did say that before
Misuzu Kusakabe,The girl is finally prepared to meet you all Kakerukun practice comes after that All right then after school at the Modern Society Studies Club
Yukiko Hirohara,Thanks for coming
Kakeru Satsuki,WWhy
Yukiko Hirohara,Sorry for the late notice Takahisasenpai has became a Modern Society Studies member as of today
Takahisa Tajima,No I havent I only came cause you said its allyoucaneat snacks
Yukiko Hirohara,Handkerchief handkerchief handkerchief
Yuka Minase,Are you all right
Kakeru Satsuki,Yeah Hold it
Yuka Minase,Kakerukun
Misuzu Kusakabe,Sorry Im late Did something happen here
Takahisa Tajima,Nothing really
Yukiko Hirohara,Ahh oh no
Misuzu Kusakabe,Everyone let me introduce her Shes Tachibana Kukurikun from Class B
Yuka Minase,KKukurisan
Kakeru Satsuki,NNeesan
Misuzu Kusakabe,I see Just like your older sister
Kakeru Satsuki,Yes
Yuka Minase,Wed seen her a few times and each time it made my heart skip a beat She looked very similar
Misuzu Kusakabe,Kukurikun cant speak Her ears are fine so she can understand what you say When shes in a conversation shell need to write though I think everyone will get used to it soon
Yukiko Hirohara,So thats how it is I understand Im Hirohara Yukiko My pleasure Thats an impressively nice pair you have there senpai
Yuka Minase,YuYukikochan
Yukiko Hirohara,Ah thats right Faad sehteio fresce en tora
TL Note,Thai เพอผองเพอนและวนพรงน  lit To his friends and tomorrow
Yukiko Hirohara,Surprised
Misuzu Kusakabe,Well of course wed be What was that just now
Yukiko Hirohara,I said Faad sehteio fresce en tora
Yuka Minase,A foreign language
Yukiko Hirohara,Its the language of the country Dransvania I was born in It means for friends and tomorrow What do you think
Misuzu Kusakabe,Well what are you asking
Yukiko Hirohara,Its our secret password
Yuka Minase,Password
Yukiko Hirohara,We use it when we want to say dont give up I think it would be nice to have it
Misuzu Kusakabe,I see Its not bad
Yukiko Hirohara,Right For friends and tomorrow
Yuka Minase,Yeah its good Really good
Yukiko Hirohara,Right right Kukurisenpai what do you think Thank you very much
Misuzu Kusakabe,You cant do much about Yukikokun
Kakeru Satsuki,For friends and tomorrow
Yuka Minase,Kakerukun
Yukiko Hirohara,Oh do you like it too All right lets all say it together Got it Ready set
Takahisa Tajima,Ridiculous What do you mean a secret password Its not like youre a kid
Yukiko Hirohara,Geez Takahisasenpai is just embarrassed Ill bring him back here
Kakeru Satsuki,Leave him alone Someone like him is
Yuka Minase,Kakerukun
Kakeru Satsuki,That guy isnt one of us
Yuka Minase,Isnt that great Kukurisan Its surprising that she had the same name but also a relief that shes someone else
Kakeru Satsuki,Yeah
Yuka Minase,Whats on your mind
Kakeru Satsuki,For friends and tomorrow Friends and tomorrow Ive never thought about those things before It was surprising
Yuka Minase,Kakerukun
Kakeru Satsuki,Its a great expression For friends and tomorrow
Yuka Minase,Its been a while
Kakeru Satsuki,Huh
Yuka Minase,Im kind of happy that I got to see you smile
Kakeru Satsuki,Yuka
Takahisa Tajima,What the Ouch What is that A wall Only me
Yuka Minase,Wheres Kukurisan
Yukiko Hirohara,Now that you mention it maybe in the bathroom
Yuka Minase,Ill go take a look
Kakeru Satsuki,Kusakabesenpai Sword practice please
Yuka Minase,Kakerukun its already late today so
Misuzu Kusakabe,Step back
Yuka Minase,Youre going to do it here
Misuzu Kusakabe,Stop right there Look at your feet
Kakeru Satsuki,When did you
Misuzu Kusakabe,If you stepped on that youd slip Once you lose your footing its over in one hit Youre blindly trying to go up to your opponents Not only now Its ever since the first time You want to protect Yukakun That feeling rises first so you turn a blind eye to everything else The first thing to do is keep your composure Everything starts from there For those that are ruled by feelings there is no chance of winning
Yuka Minase,Kakerukun
Misuzu Kusakabe,All right lets go home So theyve come
Avaritia,Wipe out the fragments
Misuzu Kusakabe,Run outside
Kakeru Satsuki,Yes
Invidia,Damned fragments Ill cut you to pieces
Misuzu Kusakabe,Go
Kakeru Satsuki,All right
Yukiko Hirohara,Where did Kukurisenpai go I wonder if shes all right Takahisasenpai
Takahisa Tajima,They should at least knock if theyre opening the door shouldnt they
Yukiko Hirohara,This is the womens bathroom you know
Takahisa Tajima,Yeah
Kakeru Satsuki,Were almost there
Ira,You guys cant beat me
Yuka Minase,Kakerukun
Ira,You cant even make a single scratch
Yuka Minase,Kakerukun
Ira,Watch the end of whom you wanted to protect and thus feel your powerlessness
Yuka Minase,Nno dont come any closer No Kakerukun
Ira,It seems like you want to die first no matter what Well then let me grant your wish
Kakeru Satsuki,Theres too much of a gap in our power Attacking first wont help Ill only lose but what can I do Thats Kogarasumaru
Misuzu Kusakabe,First thing to do is keep your composure For those that are ruled by feelings there is no chance of winning
Kakeru Satsuki,Thats right I cant rush things I have to be calm
Ira,What is it you goodfornothing Bring it on Are you so scared that youve gone insane
Yuka Minase,Kakerukun
Misuzu Kusakabe,Change feelings into strength Just think about that
Kakeru Satsuki,Change feelings into strength I will protect Yuka
Ira,Die What You dodged it
Kakeru Satsuki,What was that now I see So thats how it is
Ira,You eye is dont tell me No it cant be possible Theres no way a quiet kid like this can awaken
Kakeru Satsuki,I see it
Ira,My armor impossible
Superbia,This time its Ira
Lisette,Hes awakened
Avaritia,What
Superbia,Lisette what did you say
Avaritia,That guy
Yuka Minase,KKakerukun Kakerukun Kakerukun Kakerukun Whats wrong Hey Kakerukun KAKERUKUN
Verard,So youve finally awakened Shudder in fear of thy power That eye shall grant you everything and strip away everything The world you love the people you love You are My name is Verard king of the fallen country The one chosen by the Aeons Eye
Kakeru Satsuki,Next time The Upset Hearts Is there an answer at the end of the nightmare
Yukiko Hirohara,Even though his powers finally awakened
Misuzu Kusakabe,Its because he tried using it without knowing how How stupid can he be
Yuka Minase,How can you say something like that Kakerukun did it to save me Kakerukun
Yukiko Hirohara,Well shouldnt we take him to the hospital
Misuzu Kusakabe,Every nerve in his body is damaged Hes lucky to be alive Even if we were to carry him to the hospital they wouldnt be able to offer any cure Then Kakerusenpai is Thats why I brought him here I will heal him
Yukiko Hirohara,Hell be all right Yukasan Lets believe in Misuzusan
Misuzu Kusakabe,Here goes
Yuka Minase,If only I could stand by his side Kakerukun
Yukiko Hirohara,Kukurisan Thank goodness You were safe
Misuzu Kusakabe,Rin Pyou Tou Sha Kai Jin Retsu Zai Zen Rin Pyou Tou Sha Kai Jin Retsu Zai Zen Rin Pyou Tou Sha Kai Jin Retsu Zai Zen Rin Pyou Tou Sha Kai Jin Retsu Zai Zen
Yukiko Hirohara,Here you go
Yuka Minase,Thanks Yukikochan
Yukiko Hirohara,Itll calm you down
Yuka Minase,Its my fault There has to be some kind of power in me too but if only I had awakened it Kakerukun wouldnt have gone through that
Yukiko Hirohara,Wait what are you talking about This isnt your fault Yukasan
Yuka Minase,No Im to blame
Yukiko Hirohara,Where are you going
Yuka Minase,To where Kakerukun is
Yukiko Hirohara,Misuzusan said that you cant go in there
Yuka Minase,I know I wont go inside
Yukiko Hirohara,Thats not good
Misuzu Kusakabe,Rin Pyou Tou Sha Kai Jin Retsu Zai Zen
Yuka Minase,Kakerukun Kakerukun
Misuzu Kusakabe,Hang in there
Verard,Is it painful That is the power you seek It is the power of Aeons Eye
Kakeru Satsuki,Aeons Eye
Verard,If you discard your life youll be at ease That just means Ill return to my rest However if you wish to continue seeking this power then live on
Kakeru Satsuki,I wont die I cant die yet
Verard,Cant die
Kakeru Satsuki,I will protect Yuka I will protect
Verard,To protect the ones you love Are you saying that you can protect them
Kakeru Satsuki,I will protect them
Verard,You can taste the despair right You shall feel loss beyond comparison and also come to know just how powerless you are Just as I have
Kakeru Satsuki,Its morning WWhat the Just great
Yuka Minase,I wonder if its over yet Just a peek
Kakeru Satsuki,AAre you all right
Misuzu Kusakabe,Yeah sorry
Kakeru Satsuki,With your powers of Onmyou you
Misuzu Kusakabe,Does anything hurt
Kakeru Satsuki,Im fine
Misuzu Kusakabe,I see Thats good
Kakeru Satsuki,Senpai
Misuzu Kusakabe,Im all right
Kakeru Satsuki,Sorry to put you through this
Misuzu Kusakabe,All I did was boost your own regenerative ability You were healed by your own life powers Its impressive that you were able to recover that much
Kakeru Satsuki,I wont die I cant die yet I will protect Yuka
Misuzu Kusakabe,Im gonna go wash up When I come back tell me about that eye
Kakeru Satsuki,Sure
Yukiko Hirohara,Good mornin I fell asleep Eh What is it Theres nothing here Bed head Thats awesome I see so you communicate with that eh Ah Misuzusan Good morning Is it over now
Misuzu Kusakabe,Yeah
Yukiko Hirohara,Kakerusenpai is okay now right
Misuzu Kusakabe,Yeah hes all right now
Yukiko Hirohara,Youre great Misuzusan
Misuzu Kusakabe,No fondling By the way did Kukurikun make the food Did you also bring some to that room earlier
Yukiko Hirohara,Kukurisan communicates via the sketchbook
Misuzu Kusakabe,Yeah I know
Yukiko Hirohara,Ah now that you mention it I did pass her in the hallway earlier I greeted her but she didnt reply She seemed to be in thought
Kakeru Satsuki,Yuka
Yuka Minase,Morning
Kakeru Satsuki,Whats wrong
Yuka Minase,Nothing Thats great it looks like youre healthy again
Kakeru Satsuki,Yeah thanks to Misuzusenpai
Yuka Minase,Thats great It really is
Kakeru Satsuki,Yuka whats wrong Did something happen
Yuka Minase,Nothing really Its all right Its not like that Its all right I believe in Kakerukun after all Kakerukun wouldnt do something like that
Yukiko Hirohara,No its true There really was a cat with dog eyes
Misuzu Kusakabe,I got it I got it
Yukiko Hirohara,You dont believe me do you Its the truth It had eyes like this
Misuzu Kusakabe,Are you ready
Yuka Minase,Yes
Misuzu Kusakabe,Good Lets go
Yukiko Hirohara,Im kinda happy to be able to go with everyone
Misuzu Kusakabe,Again
Kakeru Satsuki,Yukikochan look shes troubled
Yukiko Hirohara,Really Youre happy arent you
Misuzu Kusakabe,All right lets get going
Kakeru Satsuki,Misuzusenpai
Misuzu Kusakabe,Im all right
Kakeru Satsuki,Shouldnt you take a rest today
Misuzu Kusakabe,Ill sleep in class Dont worry Kakeru
Kakeru Satsuki,Yuka Yuka
Yukiko Hirohara,Is something wrong with Yukasan
Misuzu Kusakabe,Yuka
Tadashi Teruya,Hey Shiorichan Walking while reading a book is dangerous
Shiori Momono,Thats why youre here
Tadashi Teruya,Eh
Shiori Momono,Make sure you be my eyes and protect me
Tadashi Teruya,Protect In that case instead of being your eyes Ill come and hug you Shiorichi
Shiori Momono,Its still too early in the morning to be saying stuff like that idiot
Tadashi Teruya,Sorry Shiorichan Your red nose is also cute
Shiori Momono,Kaorisan please give him a couple
Kaori Natsuki,Yes maam Is that all right
Shiori Momono,Well lets leave it at that this time
Kaori Natsuki,Yuka There she goes
Tadashi Teruya,She didnt have her bag huh Its Kakeru Kakeru Whats with him
Kaori Natsuki,He didnt have his bag either huh
Yukiko Hirohara,Seigan
Misuzu Kusakabe,Thats what we call it in Onmyoudo Its possible to look into the future with it but Its usage is hard Its a cursed eye called Jagan
Yukiko Hirohara,Kakerusenpai has that eye
Misuzu Kusakabe,Kakerukun called it the Aeons Eye
Yukiko Hirohara,Eh Aeons Eye Really Do you know about it I heard about it when I was younger In the medieval ages the king of the kingdom Drasvenia had Aeons Eye
Misuzu Kusakabe,And the name of that king
Yukiko Hirohara,I dont remember that much
Misuzu Kusakabe,Verard
Yukiko Hirohara,Ah Thats it Im surprised you know Misuzusan
Misuzu Kusakabe,It seems that he appeared in Kakerus dream
Yukiko Hirohara,In his dream
Misuzu Kusakabe,So how did that king die
Yukiko Hirohara,I heard that he got tricked by a witch and his country fell so he took his own life
Misuzu Kusakabe,Witch It cant be
Yukiko Hirohara,So does that have anything to do with Yukasans behaviour
Misuzu Kusakabe,No Thats an entirely different situation
Yukiko Hirohara,Different
Kakeru Satsuki,Yuka Whats wrong What happened
Yuka Minase,Its nothing
Kakeru Satsuki,Theres no way it can be nothing Tell me about it Did I do something
Yuka Minase,You said Misuzusenpai You called Misuzusan Misuzusenpai
Kakeru Satsuki,Whats wrong with that
Yuka Minase,Misuzusan called you Kakeru
Kakeru Satsuki,What are you talking about
Yuka Minase,Its just strange You were calling her Kusakabesenpai And she was calling you Kakerukun Up until yesterday anyways But that changed this morning
Kakeru Satsuki,Hey Yuka Get a grip on yourself What nonsense are you talking about
Yuka Minase,I saw you two
Kakeru Satsuki,Thats not it Yuka Youre mistaken Misuzusenpai and I arent
Yuka Minase,You said it again You called her Misuzusenpai again
Kakeru Satsuki,Yuka cant you believe me
Misuzu Kusakabe,Leave the city
Yukiko Hirohara,Thats right I thought about that During the Crimson Night you cant see past the horizon right If we left the city we wouldnt have to go through the Crimson Night anymore I think
Takahisa Tajima,Thats impossible
Yukiko Hirohara,Takahisasenpai
Misuzu Kusakabe,Impossible
Takahisa Tajima,I already tried that I couldnt leave
Yukiko Hirohara,What do you mean by couldnt leave
Takahisa Tajima,Theres a wall There some kind of strange wall surrounding the city
Saiko Akamine,A wall What do you mean by wall Whatre you talking about
Takahisa Tajima,Its nothing to do with you
Saiko Akamine,Ill decide on that after I hear what its about
Takahisa Tajima,Stop fussing over me like some goddamn grandma
Saiko Akamine,Youre coming with me boy
Takahisa Tajima,Hey hold on let go
Saiko Akamine,No excuses Youre coming with me Hurry up
Misuzu Kusakabe,Wall huh
Yuka Minase,Kiss me
Kakeru Satsuki,Yuka Sorry I dont want to with these feelings I Yuka
Takahisa Tajima,So theyre here
Kakeru Satsuki,The Crimson Night
Avaritia,Ill have you show me
Acedia,Leave it to me Avaritiasama
Invidia,Dont you dare touch my prey Acedia
Acedia,My target is the holder of that eye
Superbia,Dont let your guard down Acedia
Acedia,Im different from Ira
Kakeru Satsuki,Yuka Yuka where are you
Misuzu Kusakabe,Kakeru
Kakeru Satsuki,Senpai Yukas
Misuzu Kusakabe,Wasnt she with you
Yukiko Hirohara,Kukurisan is here
Misuzu Kusakabe,All right lets look for Yuka Keep together everyone
Takahisa Tajima,Burn Thats it Keep bringing on the strongest youve got
Invidia,So we meet again
Takahisa Tajima,Whats this A weak one showed up
Invidia,Youll pay for what youve done to my face
Takahisa Tajima,I think Im gonna have a barbecue with you today
Invidia,I wont kill you that simply You will suffer as much as I have
Acedia,I guess it should be Nice to meet you
Misuzu Kusakabe,Why do you call us fragments Why attack us We have no reason to fight with you in this world
Acedia,Even if you dont have a reason we do
Misuzu Kusakabe,What do you mean by that
Acedia,I almost feel sorry for you for not knowing anything
Misuzu Kusakabe,Then how about you tell us Would it be inconvenient for you to do that
Acedia,Occasionally being selfconscious of adversity can strengthen oneself which gives one the bothersome feeling of being responsible for everything
Misuzu Kusakabe,In other words if we know the truth you guys wont be able to win
Acedia,I wont play along with your sly interrogations Let me tell you just one thing Your existences themselves are a sin
Misuzu Kusakabe,You speak as if you are the one that yields justice
Acedia,All of you must disappear For the future
Misuzu Kusakabe,The future Kakeru go Leave this to me
Kakeru Satsuki,But Senpai your bodys still
Misuzu Kusakabe,Youre going to protect Yuka right Yukiko and Kukuri too
Yukiko Hirohara,Yes
Acedia,You wont escape holder of Aeons Eye
Misuzu Kusakabe,Black Tortoise Genbu with the power of the sixtieth sexagenary cycle dispatch my foe Kyuukyuunyoritsuryou
Acedia,Dont get in my way you damn fragment
Misuzu Kusakabe,Breath of the Water Dragon
Kakeru Satsuki,Misuzusenpai
Acedia,Thats right Show me just what you can do
Misuzu Kusakabe,Dont do it Kakeru You arent ready to use it yet If you fight this time your body will
Kakeru Satsuki,My bodys screaming out but I dont have a choice but to do it
Acedia,Whats wrong Are you done already
Yukiko Hirohara,Black Knight
Acedia,Pesky creature Damn you
Superbia,How the
Avaritia,Abraxus huh
Yukiko Hirohara,That was amazing Kukurisan
Misuzu Kusakabe,So that was Kukuris power
Superbia,Scholastica ran away
Avaritia,Bonds huh That power is like a diamond hard yet easily shattered
Misuzu Kusakabe,Lets go to the places where Yuka might have gone
Kakeru Satsuki,Yes
Takahisa Tajima,You might be too late already
Yukiko Hirohara,Takahisasenpai
Takahisa Tajima,Youre beat up everywhere She was a surprisingly tough enemy She got away though
Misuzu Kusakabe,What do you mean by too late
Yukiko Hirohara,Thats Yukasans
Kakeru Satsuki,Where did you see that Where did you see that thing
Takahisa Tajima,In the infirmary
Yukiko Hirohara,Senpai
Takahisa Tajima,It was quite a mess that infirmary
Misuzu Kusakabe,Dont tell me
Kakeru Satsuki,Yuka Yuka
Shiori Momono,Next time A Twisted Awakening We can only hope for an answer at the end of the nightmare
Misuzu Kusakabe,Lets go to the places where Yuka might have gone
Kakeru Satsuki,Yes
Takahisa Tajima,You might be too late already
Yukiko Hirohara,Takahisasenpai Youre beat up everywhere
Takahisa Tajima,She was a surprisingly tough enemy She got away though
Misuzu Kusakabe,What do you mean by too late
Yukiko Hirohara,Thats Yukasans
Kakeru Satsuki,Where did you see that Where did you see that thing
Takahisa Tajima,In the infirmary
Yukiko Hirohara,Senpai
Takahisa Tajima,It was quite a mess that infirmary
Misuzu Kusakabe,Dont tell me
Yuka Minase,Kakerukun is Kakerukun is changing
Kakeru Satsuki,Sorry
Yuka Minase,Kakerukun is My Kakerukun is No No No I dont want that
Yukiko Hirohara,The infirmarys been obliterated
Kakeru Satsuki,Yuka Yuka
Misuzu Kusakabe,Calm down Kakeru
Yukiko Hirohara,Its all right Senpai Yukasan isnt here There is no scent of blood
Misuzu Kusakabe,We cant say for sure that shes safe but it seems she at least escaped
Yukiko Hirohara,She couldnt have gone that far in this amount of time Lets split up and search for her
Misuzu Kusakabe,Its dangerous but I guess theres no choice Yukiko Kukuri Well search door to door around the school
Yukiko Hirohara,Understood
Misuzu Kusakabe,Kakeru and Takahisa are extremely exhausted While you wait until you recover fully search within the school
Kakeru Satsuki,No me too
Takahisa Tajima,Hey hey Dont go telling us what to do
